participant_id,block_index,trial_index_global,trial_index_block,letter,is_target,has_distractor,distractor_level,distractor_type,distractor_onset_ms,distractor_duration_ms,distractor_pos_px_x,distractor_pos_px_y,distractor_quadrant,stim_duration_ms,isi_ms,response_key,response_time_ms,is_hit,is_omission,is_commission,timestamp_ms
p3,1,1,1,7 of diamonds,1,0,none,none,,,,,,1300,800,none,,0,1,0,1761858229243
p3,1,1,2,2 of hearts,0,1,banner,none,,,,,,1300,800,none,,0,0,0,1761858231368
p3,1,1,3,7 of clubs,0,1,falsecard,falsecard,163.0,1060.0,119.0,304.0,left,1300,800,none,,0,0,0,1761858233476
p3,1,1,4,9 of diamonds,0,1,notification,notification,159.0,2564.0,1204.0,595.0,right,1300,800,none,,0,0,0,1761858235602
p3,1,1,5,queen of hearts,0,1,notification,notification,188.0,2668.0,621.0,70.0,top,1300,800,none,,0,0,0,1761858237718
p3,1,1,6,3 of hearts,0,1,banner,none,,,,,,1300,800,none,,0,0,0,1761858239835
p3,1,1,7,7 of diamonds,1,1,shape,shape,214.0,2564.0,1328.0,571.0,right,1300,800,space,606.0,1,0,0,1761858241953
p3,1,1,8,7 of clubs,0,1,banner,none,,,,,,1300,800,none,,0,0,0,1761858244071
p3,1,1,9,7 of clubs,0,1,ripple,ripple,375.0,1566.0,86.0,581.0,left,1300,800,none,,0,0,0,1761858246196
p3,1,1,10,king of clubs,0,1,screen,none,,,,,,1300,800,none,,0,0,0,1761858248320
p3,2,11,1,jack of diamonds,0,1,notification,notification,261.0,1925.0,83.0,55.0,top,1420,800,none,,0,0,0,1761858253011
p3,2,11,2,7 of diamonds,1,1,notification,notification,189.0,2482.0,1225.0,422.0,right,1420,800,space,626.0,1,0,0,1761858255259
p3,2,11,3,8 of diamonds,0,1,banner,none,,,,,,1420,800,none,,0,0,0,1761858257493
p3,2,11,4,8 of spades,0,1,ripple,ripple,269.0,2031.0,1267.0,533.0,right,1420,800,none,,0,0,0,1761858259726
p3,2,11,5,7 of diamonds,1,1,falsecard,falsecard,196.0,1106.0,62.0,201.0,left,1420,800,space,979.0,1,0,0,1761858261961
p3,2,11,6,4 of spades,0,1,shape,shape,198.0,2413.0,1424.0,75.0,top,1420,800,none,,0,0,0,1761858264196
p3,2,11,7,3 of clubs,0,1,shape,shape,257.0,2099.0,119.0,561.0,left,1420,800,none,,0,0,0,1761858266430
p3,2,11,8,king of spades,0,1,shape,shape,382.0,1859.0,1361.0,283.0,right,1420,800,none,,0,0,0,1761858268664
p3,2,11,9,4 of spades,0,1,ripple,ripple,271.0,1679.0,1208.0,659.0,right,1420,800,none,,0,0,0,1761858270898
p3,2,11,10,3 of diamonds,0,1,ripple,ripple,373.0,2605.0,1294.0,259.0,right,1420,800,none,,0,0,0,1761858273136
p3,3,21,1,7 of diamonds,1,1,shape,shape,354.0,2070.0,456.0,24.0,top,1420,800,space,723.0,1,0,0,1761858277664
p3,3,21,2,6 of clubs,0,1,notification,notification,387.0,1806.0,782.0,67.0,top,1420,800,none,,0,0,0,1761858279902
p3,3,21,3,2 of diamonds,0,1,ripple,ripple,328.0,1833.0,1359.0,37.0,top,1420,800,none,,0,0,0,1761858282133
p3,3,21,4,7 of diamonds,1,1,screen,none,,,,,,1420,800,space,682.0,1,0,0,1761858284366
p3,3,21,5,8 of diamonds,0,1,falsecard,falsecard,254.0,1110.0,122.0,77.0,left,1420,800,none,,0,0,0,1761858286602
p3,3,21,6,5 of clubs,0,1,banner,none,,,,,,1420,800,none,,0,0,0,1761858288838
p3,3,21,7,4 of spades,0,1,notification,notification,275.0,2048.0,20.0,584.0,left,1420,800,none,,0,0,0,1761858291071
p3,3,21,8,ace of hearts,0,1,falsecard,falsecard,337.0,1004.0,1213.0,50.0,right,1420,800,none,,0,0,0,1761858293305
p3,3,21,9,jack of spades,0,1,notification,notification,310.0,2616.0,610.0,50.0,top,1420,800,none,,0,0,0,1761858295539
p3,3,21,10,9 of hearts,0,1,screen,none,,,,,,1420,800,none,,0,0,0,1761858297773
