participant_id,block_index,trial_index_global,trial_index_block,letter,is_target,has_distractor,distractor_level,distractor_type,distractor_onset_ms,distractor_duration_ms,distractor_pos_px_x,distractor_pos_px_y,distractor_quadrant,stim_duration_ms,isi_ms,response_key,response_time_ms,is_hit,is_omission,is_commission,timestamp_ms
anon,1,1,1,10 of clubs,0,1,ripple,ripple,319.0,2721.0,1216.0,319.0,right,1300,800,none,,0,0,0,1761855767882
anon,1,1,2,king of clubs,0,1,shape,shape,338.0,2423.0,1250.0,431.0,right,1300,800,none,,0,0,0,1761855769991
anon,1,1,3,jack of clubs,0,1,screen,none,,,,,,1300,800,none,,0,0,0,1761855772102
anon,1,1,4,2 of spades,0,1,ripple,ripple,320.0,1924.0,1462.0,610.0,right,1300,800,none,,0,0,0,1761855774226
anon,1,1,5,5 of clubs,0,1,shape,shape,319.0,2348.0,1233.0,521.0,right,1300,800,none,,0,0,0,1761855776347
anon,1,1,6,7 of diamonds,1,1,shape,shape,384.0,2173.0,1360.0,340.0,right,1300,800,none,,0,1,0,1761855778463
anon,1,1,7,queen of diamonds,0,1,shape,shape,159.0,1776.0,95.0,395.0,left,1300,800,none,,0,0,0,1761855780575
anon,1,1,8,7 of diamonds,1,1,screen,none,,,,,,1300,800,none,,0,1,0,1761855782680
anon,1,1,9,6 of clubs,0,1,falsecard,falsecard,360.0,1160.0,21.0,280.0,left,1300,800,none,,0,0,0,1761855784805
anon,1,1,10,6 of spades,0,1,shape,shape,167.0,2180.0,450.0,43.0,top,1300,800,none,,0,0,0,1761855786922
anon,2,11,1,3 of hearts,0,1,falsecard,falsecard,343.0,1312.0,75.0,134.0,left,1540,800,none,,0,0,0,1761855793602
anon,2,11,2,4 of hearts,0,1,screen,none,,,,,,1540,800,none,,0,0,0,1761855795961
anon,2,11,3,6 of spades,0,1,shape,shape,238.0,1515.0,1231.0,496.0,right,1540,800,none,,0,0,0,1761855798305
anon,2,11,4,7 of diamonds,1,0,none,none,,,,,,1540,800,space,1074.0,1,0,0,1761855800664
anon,2,11,5,king of hearts,0,1,falsecard,falsecard,153.0,1025.0,119.0,22.0,left,1540,800,none,,0,0,0,1761855803024
anon,2,11,6,7 of diamonds,1,1,ripple,ripple,389.0,2451.0,1270.0,17.0,top,1540,800,none,,0,1,0,1761855805383
anon,2,11,7,7 of spades,0,1,notification,notification,200.0,2720.0,437.0,61.0,top,1540,800,none,,0,0,0,1761855807743
anon,2,11,8,queen of diamonds,0,1,banner,none,,,,,,1540,800,none,,0,0,0,1761855810102
anon,2,11,9,6 of hearts,0,1,shape,shape,361.0,1584.0,21.0,574.0,left,1540,800,space,882.0,0,0,1,1761855812462
anon,2,11,10,7 of hearts,0,1,ripple,ripple,331.0,2216.0,1443.0,441.0,right,1540,800,none,,0,0,0,1761855814821
anon,3,21,1,2 of clubs,0,1,shape,shape,169.0,2304.0,1251.0,489.0,right,1660,800,none,,0,0,0,1761855822415
anon,3,21,2,8 of hearts,0,1,shape,shape,313.0,2296.0,1352.0,472.0,right,1660,800,none,,0,0,0,1761855824899
anon,3,21,3,9 of hearts,0,1,falsecard,falsecard,387.0,1591.0,1325.0,151.0,right,1660,800,none,,0,0,0,1761855827371
anon,3,21,4,10 of clubs,0,0,none,none,,,,,,1660,800,none,,0,0,0,1761855829852
anon,3,21,5,7 of spades,0,1,shape,shape,247.0,2066.0,716.0,79.0,top,1660,800,none,,0,0,0,1761855832336
anon,3,21,6,10 of spades,0,0,none,none,,,,,,1660,800,none,,0,0,0,1761855834821
anon,3,21,7,6 of clubs,0,1,screen,none,,,,,,1660,800,none,,0,0,0,1761855837305
anon,3,21,8,5 of diamonds,0,1,banner,none,,,,,,1660,800,none,,0,0,0,1761855839790
anon,3,21,9,7 of diamonds,1,1,falsecard,falsecard,299.0,961.0,1283.0,117.0,right,1660,800,none,,0,1,0,1761855842274
anon,3,21,10,7 of diamonds,1,1,shape,shape,304.0,1673.0,158.0,503.0,left,1660,800,none,,0,1,0,1761855844759
